Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2011-02-04 00:00:00+11:00,7.116300620222748,7.153952968833604,7.083354927401099,7.139833450317383,13792,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-07 00:00:00+11:00,7.163364433808714,7.163364433808714,7.130418300628662,7.130418300628662,5980,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-08 00:00:00+11:00,7.130418300628662,7.130418300628662,7.1068859254517065,7.130418300628662,33239,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-09 00:00:00+11:00,7.149247372596497,7.153954029083252,7.144541164961208,7.153954029083252,15156,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-10 00:00:00+11:00,7.14454010610659,7.1586596246228105,7.135126794528176,7.139833450317383,40456,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-11 00:00:00+11:00,7.139831910184856,7.139831910184856,7.1257123947143555,7.1257123947143555,26250,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-14 00:00:00+11:00,7.153951372909693,7.163364682388159,7.139831857543293,7.158658027648926,25878,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-15 00:00:00+11:00,7.177485397291839,7.186898708343506,7.172778741766006,7.186898708343506,11700,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-16 00:00:00+11:00,7.191604915017963,7.196311570543796,7.182192052817673,7.186898708343506,21441,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-17 00:00:00+11:00,7.201019834761024,7.201019834761024,7.191606521606445,7.191606521606445,8545,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-18 00:00:00+11:00,7.210430718315234,7.210430718315234,7.2010178565979,7.2010178565979,13585,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-21 00:00:00+11:00,7.20101897764606,7.20101897764606,7.177486146412129,7.182192802429199,2089,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-22 00:00:00+11:00,7.163364433808714,7.163364433808714,7.1068859254517065,7.130418300628662,36549,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-23 00:00:00+11:00,7.106884862969494,7.116297721862793,7.102178209097235,7.116297721862793,8200,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-24 00:00:00+11:00,7.102179840999295,7.121006011962891,7.102179840999295,7.121006011962891,3640,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-02-25 00:00:00+11:00,7.121006011962891,7.121006011962891,7.1162993570091615,7.121006011962891,3835,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
