Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2015-05-26 00:00:00+10:00,8.222686767578125,8.222686767578125,8.222686767578125,8.222686767578125,0,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-05-27 00:00:00+10:00,8.387749671936035,8.387749671936035,8.387749671936035,8.387749671936035,0,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-05-28 00:00:00+10:00,8.449727058410645,8.449727058410645,8.449727058410645,8.449727058410645,0,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-05-29 00:00:00+10:00,8.3824462890625,8.3824462890625,8.3824462890625,8.3824462890625,0,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-01 00:00:00+10:00,8.452131271362305,8.452131271362305,8.452131271362305,8.452131271362305,0,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-02 00:00:00+10:00,8.480280458585826,8.480280458585826,8.381481170654297,8.381481170654297,58553,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-03 00:00:00+10:00,8.290915925149699,8.290915925149699,8.233283194051204,8.249750137329102,43424,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-04 00:00:00+10:00,8.31561428780399,8.348547381044947,8.299147348590072,8.340313911437988,19002,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-05 00:00:00+10:00,8.340315281683646,8.35678143841594,8.3156156539917,8.3156156539917,40832,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-09 00:00:00+10:00,8.323848314514956,8.323848314514956,8.208582862177517,8.225049018859863,30470,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-10 00:00:00+10:00,8.225047924185713,8.282681427870976,8.19211483001709,8.19211483001709,54254,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-11 00:00:00+10:00,8.290915925149699,8.290915925149699,8.225049722412255,8.249750137329102,39498,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-12 00:00:00+10:00,8.26621682995266,8.274450302124023,8.249750670797054,8.274450302124023,17359,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-15 00:00:00+10:00,8.19211522988432,8.216814855419681,8.183881759643555,8.183881759643555,13077,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-16 00:00:00+10:00,8.159183903850352,8.159183903850352,8.118017328904351,8.15095043182373,7070,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-17 00:00:00+10:00,8.225049722412255,8.257982823780978,8.225049722412255,8.249750137329102,23507,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-18 00:00:00+10:00,8.249750406136137,8.249750406136137,8.20858383178711,8.20858383178711,7028,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-19 00:00:00+10:00,8.282683487469823,8.332082748413086,8.282683487469823,8.332082748413086,18046,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-22 00:00:00+10:00,8.299149513244629,8.307382984999112,8.290916041490146,8.299149513244629,14034,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-23 00:00:00+10:00,8.389713979693495,8.430880546569824,8.381481294467793,8.430880546569824,11130,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-24 00:00:00+10:00,8.397948666307187,8.422648295935232,8.373249036679141,8.389715194702148,33510,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-25 00:00:00+10:00,8.38971465795507,8.38971465795507,8.365015029907227,8.365015029907227,22840,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-26 00:00:00+10:00,8.348550225982473,8.356782913208008,8.323849808744429,8.356782913208008,40125,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-29 00:00:00+10:00,8.274451107322102,8.274451107322102,8.233284527646429,8.257984161376953,16536,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-06-30 00:00:00+10:00,8.175649074589726,8.183881759643555,8.150948663867426,8.183881759643555,45987,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-01 00:00:00+10:00,8.1674165725708,8.17565004378762,8.150949630137163,8.1674165725708,24048,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-02 00:00:00+10:00,8.290916041490146,8.299149513244629,8.26621641141378,8.299149513244629,2375,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-03 00:00:00+10:00,8.29915017669353,8.356782913208008,8.29915017669353,8.356782913208008,60089,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-06 00:00:00+10:00,8.340316753569791,8.37324985803337,8.340316753569791,8.356782913208008,31880,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-07 00:00:00+10:00,8.455580284819474,8.496746063232422,8.455580284819474,8.496746063232422,20545,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-08 00:00:00+10:00,8.488514346856117,8.513213973758488,8.480280876159668,8.480280876159668,11408,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-09 00:00:00+10:00,8.414415609517263,8.414415609517263,8.389715194702148,8.389715194702148,7152,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-10 00:00:00+10:00,8.39794635772705,8.39794635772705,8.365013265547214,8.39794635772705,37344,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-13 00:00:00+10:00,8.472047005916892,8.488513946533203,8.472047005916892,8.488513946533203,6460,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-14 00:00:00+10:00,8.694347247219406,8.694347247219406,8.653180674927558,8.66141414642334,11232,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-15 00:00:00+10:00,8.686113775723626,8.686113775723626,8.66141414642334,8.66141414642334,26389,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-16 00:00:00+10:00,8.80961240965542,8.842545509338379,8.80137893843792,8.842545509338379,57002,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-17 00:00:00+10:00,8.859013155935678,8.867246627807617,8.85077968406374,8.867246627807617,67979,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-20 00:00:00+10:00,9.040145471936732,9.081312049050785,9.040145471936732,9.048378944396973,91619,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-21 00:00:00+10:00,9.08131325936522,9.114246368408203,9.056613623879798,9.114246368408203,93516,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-22 00:00:00+10:00,9.023677009182911,9.023677009182911,8.891944624188366,8.933111190795898,57986,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-23 00:00:00+10:00,8.990744991732571,8.998978463079402,8.957811891532296,8.982511520385742,36006,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-24 00:00:00+10:00,8.957812556331701,9.040144920349121,8.957812556331701,9.040144920349121,39338,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-27 00:00:00+10:00,8.982511939270408,8.990745411001193,8.957812309265137,8.957812309265137,76900,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-28 00:00:00+10:00,8.891944885253906,8.908411041268192,8.875477944052646,8.891944885253906,9601,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-29 00:00:00+10:00,8.88371139942839,8.908411026000977,8.875477928841873,8.908411026000977,26410,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-30 00:00:00+10:00,8.957812309265137,8.982511939270408,8.949578837534352,8.957812309265137,71254,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-07-31 00:00:00+10:00,9.023678378367405,9.040144536396697,9.015444906759223,9.031911849975586,62080,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-03 00:00:00+10:00,8.982512072580617,8.990745544433594,8.982512072580617,8.990745544433594,32338,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-04 00:00:00+10:00,8.998979171352998,9.007211858160744,8.900179862976074,8.900179862976074,85469,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-05 00:00:00+10:00,8.85078061645897,8.891947194968306,8.826080983428238,8.883713722229004,118054,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-06 00:00:00+10:00,8.933112127958996,8.966045227662608,8.908411714291011,8.949578285217285,63334,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-07 00:00:00+10:00,8.826080171808593,8.826080171808593,8.793147069066988,8.809613227844238,36310,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-10 00:00:00+10:00,8.76021248279841,8.784912109375,8.76021248279841,8.784912109375,111748,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
2015-08-11 00:00:00+10:00,8.809611749621556,8.891944885253906,8.801378279020927,8.891944885253906,75856,0.0,0.0,0.0,NDQ.AX,BetaShares NASDAQ 100 ETF,Unknown,AUD
