Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Name,Category,Currency
2009-05-08 00:00:00+10:00,31.65627670288086,31.65627670288086,31.65627670288086,31.65627670288086,0,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-11 00:00:00+10:00,30.81658744812012,30.81658744812012,30.81658744812012,30.816587448120117,0,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-12 00:00:00+10:00,31.04448027937164,31.161630630493164,31.04448027937164,31.161630630493164,303,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-13 00:00:00+10:00,31.10651118838735,31.182313919067383,31.10651118838735,31.182313919067383,1228,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-14 00:00:00+10:00,30.768831748331316,30.83774185180664,30.741266655440405,30.83774185180664,303,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-15 00:00:00+10:00,30.734380722045902,30.734380722045902,30.734380722045902,30.7343807220459,220,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-18 00:00:00+10:00,30.927325676312435,30.927325676312435,30.90665054321289,30.90665054321289,404,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-19 00:00:00+10:00,31.719810767573296,31.9334363413133,31.602663040161133,31.602663040161133,1890,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-20 00:00:00+10:00,31.471729278564453,31.471729278564453,31.471729278564453,31.471729278564453,110,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-21 00:00:00+10:00,31.595779009468796,31.595779009468796,31.513086318969727,31.513086318969727,350,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-22 00:00:00+10:00,31.26499748229981,31.26499748229981,31.26499748229981,31.264997482299805,50,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-25 00:00:00+10:00,31.265008442646355,31.423503875732425,31.265008442646355,31.423503875732422,166,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-26 00:00:00+10:00,31.423503875732425,31.423503875732425,31.423503875732425,31.423503875732422,0,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-27 00:00:00+10:00,31.423503875732425,31.423503875732425,31.423503875732425,31.423503875732422,0,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-28 00:00:00+10:00,31.31324144706801,31.48551940917969,31.31324144706801,31.485519409179688,404,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
2009-05-29 00:00:00+10:00,31.237440525653014,31.320133209228516,31.182310317434005,31.320133209228516,1030,0.0,0.0,VEU.AX,Vanguard All-World ex-US Shares Index ETF,Unknown,AUD
